"","input","filtered","denoised","nonchim"
"ERR011058",21736,15205,14595,13452
"ERR011059",13214,10177,9941,9792
"ERR011060",15278,10904,10658,9880
"ERR011061",15817,11168,11049,10991
"ERR011062",25647,18465,17958,16490
"ERR011063",13464,9892,9688,8751
"ERR011064",18242,12598,11877,10600
"ERR011065",20519,15882,15713,15496
"ERR011066",12469,8691,8458,7179
"ERR011067",21594,15391,15077,13953
"ERR011068",19432,13746,13292,11780
"ERR011069",13906,10522,10289,10163
"ERR011070",16860,12704,12496,12313
"ERR011071",12498,9615,9387,9288
"ERR011072",9633,6960,6751,5989
"ERR011073",18663,13743,13512,13031
"ERR011074",20261,16371,16163,15975
"ERR011075",9837,7449,7126,6831
"ERR011076",13628,10385,10331,10331
"ERR011077",16120,11881,11695,11067
"ERR011078",14450,11472,11382,11372
"ERR011079",14687,11239,11043,10700
"ERR011080",22671,17743,17503,17278
"ERR011081",11046,8650,8208,8062
"ERR011082",18317,13627,13355,12885
"ERR011083",12876,9850,9372,8830
"ERR011084",12317,9608,9170,8590
"ERR011085",19330,14200,14042,13823
"ERR011086",15583,9882,9106,7636
