"","Taxon","Phylum","Class","Order","Family","Genus","logFC","p_value","q_value","Significant","Direction","Taxon_ID","TaxonLabel"
"1","Segatella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella",8.29525238331024,2.69410680381502e-71,2.37081398735721e-69,TRUE,"BF enriched","Genus_1","Segatella"
"2","Haemophilus","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",-1.16290382510713,0.0821341372542318,0.124617311696076,FALSE,"Not Sig","Genus_10",NA
"3","Flintibacter","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flintibacter",0.0226321513684268,0.940439650876199,0.943828698724847,FALSE,"Not Sig","Genus_101",NA
"4","Schaalia","Actinomycetota","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia",0.380554878452399,0.199244456121934,0.278309716487781,FALSE,"Not Sig","Genus_102",NA
"5","Aminipila","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII","Aminipila",0.631998782696258,0.0408507084937987,0.0678275914614016,FALSE,"Not Sig","Genus_104",NA
"6","Butyribacter","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyribacter",-0.138297090139388,0.595333330940905,0.680380949646748,FALSE,"Not Sig","Genus_105",NA
"7","Millionella","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Millionella",0.770626267485519,0.00396042238578448,0.00871292924872586,FALSE,"Not Sig","Genus_106",NA
"8","Lentihominibacter","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis","Lentihominibacter",0.657595984456505,0.0521579776634259,0.0834527642614814,FALSE,"Not Sig","Genus_107",NA
"9","Clostridium_sensu_stricto","Bacillota","Clostridia","Eubacteriales","Clostridiaceae_1","Clostridium_sensu_stricto",0.156665355840775,0.846633126662715,0.866322269143243,FALSE,"Not Sig","Genus_11",NA
"10","Sodaliphilus","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sodaliphilus",0.72111575458838,0.00135687742390508,0.00372474520394347,FALSE,"Not Sig","Genus_117",NA
"11","Barnesiella","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",-2.64357578228943,2.66649415438158e-05,0.000106659766175263,TRUE,"EU enriched","Genus_12","Barnesiella"
"12","Fructilactobacillus","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus",0.0551310161327959,0.761553711735373,0.788432078031916,FALSE,"Not Sig","Genus_125",NA
"13","Subdoligranulum","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Subdoligranulum",0.828549854358114,0.00100013767751157,0.00300816098600099,FALSE,"Not Sig","Genus_126",NA
"14","Waltera","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Waltera",-0.352398152589044,0.611403912387764,0.689789029360555,FALSE,"Not Sig","Genus_13",NA
"15","Fusicatenibacter","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter",-1.66868154165318,0.00492340470252415,0.0105673076541982,TRUE,"EU enriched","Genus_14","Fusicatenibacter"
"16","Mediterraneibacter","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter",1.04822159564093,0.0159286237877334,0.0301670227585573,TRUE,"BF enriched","Genus_15","Mediterraneibacter"
"17","Gemmiger","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Gemmiger",-0.820822600507635,0.316238796867543,0.394883527384341,FALSE,"Not Sig","Genus_16",NA
"18","Dorea","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea",2.46163967050363,4.01285724826539e-07,2.71639567574888e-06,TRUE,"BF enriched","Genus_17","Dorea"
