"","Sample","ASVs","Group"
"ERR011058","ERR011058",114,"BF"
"ERR011059","ERR011059",132,"EU"
"ERR011060","ERR011060",57,"BF"
"ERR011061","ERR011061",69,"EU"
"ERR011062","ERR011062",80,"BF"
"ERR011063","ERR011063",88,"EU"
"ERR011064","ERR011064",96,"BF"
"ERR011065","ERR011065",112,"EU"
"ERR011066","ERR011066",44,"BF"
"ERR011067","ERR011067",64,"BF"
"ERR011068","ERR011068",78,"BF"
"ERR011069","ERR011069",123,"EU"
"ERR011070","ERR011070",123,"EU"
"ERR011071","ERR011071",130,"EU"
"ERR011072","ERR011072",51,"EU"
"ERR011073","ERR011073",199,"EU"
"ERR011074","ERR011074",156,"EU"
"ERR011075","ERR011075",141,"BF"
"ERR011076","ERR011076",67,"EU"
"ERR011077","ERR011077",61,"BF"
"ERR011078","ERR011078",71,"EU"
"ERR011079","ERR011079",74,"BF"
"ERR011080","ERR011080",158,"EU"
"ERR011081","ERR011081",151,"BF"
"ERR011082","ERR011082",152,"EU"
"ERR011083","ERR011083",151,"BF"
"ERR011084","ERR011084",166,"BF"
"ERR011085","ERR011085",142,"EU"
"ERR011086","ERR011086",97,"BF"
