"","Sample","Reads","Group"
"ERR011058","ERR011058",13452,"BF"
"ERR011059","ERR011059",9792,"EU"
"ERR011060","ERR011060",9880,"BF"
"ERR011061","ERR011061",10991,"EU"
"ERR011062","ERR011062",16490,"BF"
"ERR011063","ERR011063",8751,"EU"
"ERR011064","ERR011064",10600,"BF"
"ERR011065","ERR011065",15496,"EU"
"ERR011066","ERR011066",7179,"BF"
"ERR011067","ERR011067",13953,"BF"
"ERR011068","ERR011068",11780,"BF"
"ERR011069","ERR011069",10163,"EU"
"ERR011070","ERR011070",12313,"EU"
"ERR011071","ERR011071",9288,"EU"
"ERR011072","ERR011072",5989,"EU"
"ERR011073","ERR011073",13031,"EU"
"ERR011074","ERR011074",15975,"EU"
"ERR011075","ERR011075",6831,"BF"
"ERR011076","ERR011076",10331,"EU"
"ERR011077","ERR011077",11067,"BF"
"ERR011078","ERR011078",11372,"EU"
"ERR011079","ERR011079",10700,"BF"
"ERR011080","ERR011080",17278,"EU"
"ERR011081","ERR011081",8062,"BF"
"ERR011082","ERR011082",12885,"EU"
"ERR011083","ERR011083",8830,"BF"
"ERR011084","ERR011084",8590,"BF"
"ERR011085","ERR011085",13823,"EU"
"ERR011086","ERR011086",7636,"BF"
