.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR011058	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011059	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011060	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011061	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011062	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011063	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011064	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011065	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011066	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011067	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011068	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011069	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011070	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011071	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011072	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011073	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011074	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011075	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011076	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011077	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011078	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011079	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011080	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011081	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011082	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011083	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011084	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011085	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR011086	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
