Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR011058	27.0748987854251	55.81983805668016
ERR011059	7.87800817314969	76.44922052368699
ERR011060	27.359602042152115	57.57952611598377
ERR011061	27.091104507808055	62.369602326610604
ERR011062	34.4445744141615	50.89874059344172
ERR011063	25.839275103980984	62.05436720142603
ERR011064	19.816906041004277	63.21127069400285
ERR011065	7.573468492616599	79.19001900677421
ERR011066	33.26650092228727	49.314299462667414
ERR011067	17.171436510141707	68.2643326850051
ERR011068	26.137299300123505	57.22519555372581
ERR011069	10.743563929239178	76.44901481374947
ERR011070	15.16014234875445	73.48161328588375
ERR011071	12.193951032165147	73.13170107217155
ERR011072	34.10152600436001	54.116059379217276
ERR011073	7.088892461019129	77.68311632642126
ERR011074	13.419870687527762	74.18686145797345
ERR011075	12.900274473924977	70.01118227101759
ERR011076	16.040504842970353	72.71059583211037
ERR011077	21.581885856079406	65.5210918114144
ERR011078	9.384083044982699	79.65397923875432
ERR011079	19.799822972696944	67.56995982841968
ERR011080	13.078382074015263	74.84451501918751
ERR011081	13.018287162773856	71.30182871627738
ERR011082	9.739586176775674	76.0932467107059
ERR011083	14.422180801491146	71.1556383970177
ERR011084	9.93748477713729	73.66241779654138
ERR011085	8.070356958096223	77.128815312985
ERR011086	19.19399345440544	61.14997112237694
