Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR011058	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0032847314732020703)	(34.0, 0.006569462946404141)	(35.0, 0.0032847314732020703)	(36.0, 0.0032847314732020703)	(37.0, 0.009854194419606211)	(38.0, 0.009854194419606211)	(39.0, 0.009854194419606211)	(40.0, 0.04927097209803105)	(41.0, 0.1346739904012849)	(42.0, 0.21679227723133665)	(43.0, 0.28577163816858014)	(44.0, 0.42701509151626915)	(45.0, 0.7095019982116472)	(46.0, 1.082319020420082)	(47.0, 1.3511195459771184)	(48.0, 1.8412744758116055)	(49.0, 3.21027755980948)	(50.0, 4.029270607127874)	(51.0, 4.8997244475264345)	(52.0, 4.9095786419460365)	(53.0, 5.201919743061022)	(54.0, 14.986587346484065)	(55.0, 32.00861329586381)	(56.0, 14.345517253964019)	(57.0, 4.506104125987708)	(58.0, 1.5120713881640202)	(59.0, 0.5781127392835644)	(60.0, 0.14069599810215536)	(61.0, 0.045986240624828985)	(62.0, 0.029562583258818633)	(63.0, 0.013138925892808281)	(64.0, 0.009854194419606211)	(65.0, 0.01642365736601035)	(66.0, 0.022993120312414492)	(67.0, 0.03613204620522278)	(68.0, 0.08540301830325382)	(69.0, 0.1675213051333056)	(70.0, 0.23650066607054906)	(71.0, 0.37117465647183395)	(72.0, 0.5879669337031707)	(73.0, 0.6930783408456368)	(74.0, 0.5288417671855333)	(75.0, 0.3350426102666112)	(76.0, 0.20365335133852835)	(77.0, 0.07554882388364761)	(78.0, 0.03613204620522278)	(79.0, 0.019708388839212422)	(80.0, 0.009854194419606211)	(81.0, 0.0032847314732020703)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011059	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.05082699760689558)	(39.0, 0.1588343675215487)	(40.0, 0.28590186153878766)	(41.0, 0.6671043435905045)	(42.0, 1.2770283148732515)	(43.0, 1.8602681124123783)	(44.0, 2.3659967386009892)	(45.0, 3.100446854020631)	(46.0, 4.060865329634263)	(47.0, 4.154048158580235)	(48.0, 4.6930261123700205)	(49.0, 15.033566996336384)	(50.0, 18.155191766026146)	(51.0, 15.646244096656014)	(52.0, 14.95690294161256)	(53.0, 6.875410322116067)	(54.0, 2.6567695207437727)	(55.0, 1.8361252885491028)	(56.0, 0.6639276562400735)	(57.0, 0.2774306952709718)	(58.0, 0.24566382176666193)	(59.0, 0.5432135369236967)	(60.0, 0.37167242000042394)	(61.0, 0.03176687350430974)	(62.0, 0.012706749401723895)	(63.0, 0.012706749401723895)	(64.0, 0.006353374700861948)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011060	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0048274042082089574)	(38.0, 0.014482212624626872)	(39.0, 0.01930961683283583)	(40.0, 0.028964425249253745)	(41.0, 0.05792885049850749)	(42.0, 0.10137548837238812)	(43.0, 0.13033991362164185)	(44.0, 0.2075783809529852)	(45.0, 0.47308561240447783)	(46.0, 0.8544505448529854)	(47.0, 0.9686991111139308)	(48.0, 1.2575387962384328)	(49.0, 2.6309352934738897)	(50.0, 2.6180622155853284)	(51.0, 3.4532031436054695)	(52.0, 4.034100783326611)	(53.0, 4.437993602080096)	(54.0, 15.944433359292882)	(55.0, 37.892709332340935)	(56.0, 12.700095904429725)	(57.0, 2.130494390556221)	(58.0, 0.45377599557164205)	(59.0, 0.18183222517587078)	(60.0, 0.07723846733134332)	(61.0, 0.0675836589149254)	(62.0, 0.03861923366567166)	(63.0, 0.01930961683283583)	(64.0, 0.01930961683283583)	(65.0, 0.028964425249253745)	(66.0, 0.05792885049850749)	(67.0, 0.09654808416417915)	(68.0, 0.17861395570373143)	(69.0, 0.3765375282402987)	(70.0, 0.6613543765246273)	(71.0, 1.0813385426388065)	(72.0, 1.6123530055417916)	(73.0, 1.8488958117440308)	(74.0, 1.4433938582544783)	(75.0, 0.8978971827268662)	(76.0, 0.5020500376537316)	(77.0, 0.18826876412014934)	(78.0, 0.07723846733134332)	(79.0, 0.05310144629029854)	(80.0, 0.048274042082089574)	(81.0, 0.024137021041044787)	(82.0, 0.0048274042082089574)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011061	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.015660426276803256)	(37.0, 0.036540994645874264)	(38.0, 0.026100710461338758)	(39.0, 0.04176113673814201)	(40.0, 0.1305035523066938)	(41.0, 0.4071710831968846)	(42.0, 1.0022672817154084)	(43.0, 1.868810869031855)	(44.0, 2.714473887979231)	(45.0, 4.948694703469829)	(46.0, 7.31341907126712)	(47.0, 5.960532245687728)	(48.0, 4.966965200792741)	(49.0, 27.756365528270244)	(50.0, 17.467465464409187)	(51.0, 9.043374160644815)	(52.0, 7.646638141490274)	(53.0, 4.744239138189326)	(54.0, 1.0588188210483092)	(55.0, 0.5507249907342477)	(56.0, 0.26796729406974457)	(57.0, 0.3514895675460284)	(58.0, 0.39238068060212594)	(59.0, 0.8909042504136963)	(60.0, 0.3236488097206006)	(61.0, 0.06264170510721302)	(62.0, 0.010440284184535503)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011062	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.01147755325345663)	(40.0, 0.03443265976036989)	(41.0, 0.07460409614746809)	(42.0, 0.13199186241475125)	(43.0, 0.16929391048848527)	(44.0, 0.2812000547096874)	(45.0, 0.5394450029124617)	(46.0, 0.8278185284055594)	(47.0, 0.9698532499170851)	(48.0, 1.3117886905929816)	(49.0, 2.142954838697463)	(50.0, 2.5551902930507797)	(51.0, 3.789027267797368)	(52.0, 4.261519876731336)	(53.0, 4.771027594907711)	(54.0, 17.68499663803525)	(55.0, 38.77806142212204)	(56.0, 13.086801865868045)	(57.0, 2.9755556809586228)	(58.0, 0.795298794187432)	(59.0, 0.2773742036252019)	(60.0, 0.09995035958218482)	(61.0, 0.028693883133641577)	(62.0, 0.014346941566820788)	(63.0, 0.02582449482027742)	(64.0, 0.040171436387098206)	(65.0, 0.03443265976036989)	(66.0, 0.02582449482027742)	(67.0, 0.04304082470046237)	(68.0, 0.09755920265438135)	(69.0, 0.200857181935491)	(70.0, 0.3357184326636064)	(71.0, 0.5308368379723691)	(72.0, 0.7403021848479526)	(73.0, 0.8120368926820566)	(74.0, 0.6312654289401146)	(75.0, 0.41032252881107456)	(76.0, 0.24676739494931757)	(77.0, 0.09755920265438135)	(78.0, 0.040171436387098206)	(79.0, 0.02295510650691326)	(80.0, 0.02582449482027742)	(81.0, 0.017216329880184945)	(82.0, 0.005738776626728315)	(83.0, 0.0028693883133641576)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011063	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.006540527914038794)	(33.0, 0.006540527914038794)	(34.0, 0.0)	(35.0, 0.006540527914038794)	(36.0, 0.013081055828077589)	(37.0, 0.026162111656155177)	(38.0, 0.05886475122634915)	(39.0, 0.13081055828077587)	(40.0, 0.41859378649848283)	(41.0, 0.9156739079654311)	(42.0, 1.4284512964260725)	(43.0, 2.0733473487502976)	(44.0, 3.1819668301798734)	(45.0, 4.964260686755445)	(46.0, 5.288016818500365)	(47.0, 4.167406369228386)	(48.0, 5.95188040177527)	(49.0, 11.270419683874666)	(50.0, 18.097422720548032)	(51.0, 22.36860546601233)	(52.0, 12.526325624854165)	(53.0, 3.3001323678268446)	(54.0, 1.5860780191544073)	(55.0, 0.9265747878221627)	(56.0, 0.2507202367048204)	(57.0, 0.20166627734952955)	(58.0, 0.20166627734952955)	(59.0, 0.3510083313867486)	(60.0, 0.238729268862416)	(61.0, 0.00981079187105819)	(62.0, 0.01962158374211638)	(63.0, 0.013081055828077589)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011064	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.003993360372820069)	(37.0, 0.007986720745640137)	(38.0, 0.007986720745640137)	(39.0, 0.019966801864100343)	(40.0, 0.04392696410102076)	(41.0, 0.10382736969332179)	(42.0, 0.26356178460612456)	(43.0, 0.5131468079073789)	(44.0, 0.9164762055622058)	(45.0, 1.5680595063940137)	(46.0, 2.2189772471636853)	(47.0, 2.3520892595910206)	(48.0, 2.667564729043806)	(49.0, 5.018322868510546)	(50.0, 5.307175935477875)	(51.0, 6.793371554229119)	(52.0, 8.207287350232303)	(53.0, 7.202025432381022)	(54.0, 14.077260874252431)	(55.0, 25.63937027369293)	(56.0, 10.098542822799844)	(57.0, 2.9457688350169335)	(58.0, 0.9630654099117727)	(59.0, 0.39001819641209357)	(60.0, 0.10249624956904843)	(61.0, 0.05990040559230103)	(62.0, 0.039933603728200685)	(63.0, 0.039933603728200685)	(64.0, 0.04392696410102076)	(65.0, 0.04392696410102076)	(66.0, 0.027953522609740482)	(67.0, 0.03594024335538062)	(68.0, 0.07188048671076123)	(69.0, 0.13577425267588236)	(70.0, 0.18768793752254326)	(71.0, 0.24359498274202418)	(72.0, 0.3713825146722664)	(73.0, 0.4672231636199481)	(74.0, 0.3713825146722664)	(75.0, 0.21164809975946366)	(76.0, 0.10382736969332179)	(77.0, 0.03594024335538062)	(78.0, 0.015973441491280275)	(79.0, 0.015973441491280275)	(80.0, 0.023960162236920414)	(81.0, 0.015973441491280275)	(82.0, 0.003993360372820069)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011065	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.008489353844959831)	(40.0, 0.046691446147279075)	(41.0, 0.16129772305423679)	(42.0, 0.4499357537828711)	(43.0, 0.963541661402941)	(44.0, 1.6342006151547677)	(45.0, 2.432199876580992)	(46.0, 3.7862518148520854)	(47.0, 4.502187322443697)	(48.0, 4.412341660917862)	(49.0, 10.507980700060578)	(50.0, 13.137841031998018)	(51.0, 13.899194582660106)	(52.0, 14.588530114870752)	(53.0, 10.162746977032214)	(54.0, 3.861746425830464)	(55.0, 2.42215414119779)	(56.0, 1.0307490460088728)	(57.0, 1.4948337228666786)	(58.0, 2.4081467073536134)	(59.0, 3.478512737972285)	(60.0, 4.03032073789468)	(61.0, 0.5164356922350565)	(62.0, 0.05093612306975899)	(63.0, 0.012734030767439748)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011066	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.005474332678846301)	(39.0, 0.010948665357692603)	(40.0, 0.016422998036538905)	(41.0, 0.060217659467309316)	(42.0, 0.14233264965000386)	(43.0, 0.19707597643846686)	(44.0, 0.24087063786923726)	(45.0, 0.40510061823462634)	(46.0, 0.7226119136077118)	(47.0, 0.8959657817711779)	(48.0, 1.217126632263494)	(49.0, 1.9160164375962068)	(50.0, 2.3515908410764106)	(51.0, 2.927855594402965)	(52.0, 3.6276577885154815)	(53.0, 4.613037670707813)	(54.0, 14.877411443544512)	(55.0, 36.032970080948985)	(56.0, 14.211367634284983)	(57.0, 2.9561396465770056)	(58.0, 0.818412735487522)	(59.0, 0.3293723495105858)	(60.0, 0.14324503842981157)	(61.0, 0.0857645453019254)	(62.0, 0.054743326788463026)	(63.0, 0.054743326788463026)	(64.0, 0.049268994109616715)	(65.0, 0.06569199214615562)	(66.0, 0.10948665357692605)	(67.0, 0.18065297840192795)	(68.0, 0.37225462216154853)	(69.0, 0.6623942541404024)	(70.0, 1.0291745436231048)	(71.0, 1.4835441559673477)	(72.0, 1.762735122588509)	(73.0, 1.7025174631212)	(74.0, 1.3466858389961902)	(75.0, 0.9689568841557954)	(76.0, 0.6295482580673247)	(77.0, 0.3229856280519318)	(78.0, 0.19707597643846686)	(79.0, 0.11496098625577233)	(80.0, 0.049268994109616715)	(81.0, 0.021897330715385206)	(82.0, 0.010948665357692603)	(83.0, 0.005474332678846301)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011067	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0071708662047831285)	(37.0, 0.014341732409566257)	(38.0, 0.01792716551195782)	(39.0, 0.014341732409566257)	(40.0, 0.025098031716740944)	(41.0, 0.0681232289454397)	(42.0, 0.12549015858370474)	(43.0, 0.1960036762640722)	(44.0, 0.25695603900472874)	(45.0, 0.43025197228698764)	(46.0, 0.7170866204783127)	(47.0, 0.7983564374658549)	(48.0, 0.9602984992572067)	(49.0, 2.3633979866597743)	(50.0, 2.577328828435801)	(51.0, 3.230475225254792)	(52.0, 4.119065062464166)	(53.0, 5.19469499318165)	(54.0, 10.446756916001434)	(55.0, 21.88548365699924)	(56.0, 8.363022711328394)	(57.0, 5.373369076117553)	(58.0, 3.7924321068362605)	(59.0, 5.842104697036827)	(60.0, 9.534861763626632)	(61.0, 1.2537064414695835)	(62.0, 0.16732021144493966)	(63.0, 0.07708681170141862)	(64.0, 0.06095236274065659)	(65.0, 0.05019606343348189)	(66.0, 0.10039212686696378)	(67.0, 0.19002795442675288)	(68.0, 0.34420157782959016)	(69.0, 0.5736692963826502)	(70.0, 0.8712602438811501)	(71.0, 1.487954737492499)	(72.0, 2.276750020018643)	(73.0, 2.542072069595619)	(74.0, 1.8034728505029567)	(75.0, 1.0146775679768125)	(76.0, 0.5378149653587346)	(77.0, 0.13983189099327098)	(78.0, 0.0681232289454397)	(79.0, 0.0394397641263072)	(80.0, 0.028683464819132514)	(81.0, 0.014341732409566257)	(82.0, 0.0035854331023915643)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
