Sample	Unique Reads	Duplicate Reads
ERR011058	2066.0	19670.0
ERR011059	1331.0	11883.0
ERR011060	1358.0	13920.0
ERR011061	959.0	14858.0
ERR011062	1837.0	23810.0
ERR011063	1028.0	12436.0
ERR011064	1793.0	16449.0
ERR011065	1482.0	19037.0
ERR011066	1396.0	11073.0
ERR011067	1824.0	19770.0
ERR011068	1785.0	17647.0
ERR011069	1046.0	12860.0
ERR011070	1125.0	15735.0
ERR011071	1169.0	11329.0
ERR011072	770.0	8863.0
ERR011073	1660.0	17003.0
ERR011074	1472.0	18789.0
ERR011075	1135.0	8702.0
ERR011076	980.0	12648.0
ERR011077	1087.0	15033.0
ERR011078	982.0	13468.0
ERR011079	1119.0	13568.0
ERR011080	1566.0	21105.0
ERR011081	1151.0	9895.0
ERR011082	1488.0	16829.0
ERR011083	1237.0	11639.0
ERR011084	1225.0	11092.0
ERR011085	1599.0	17731.0
ERR011086	1815.0	13768.0
