Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR011058	(1.0, 6.712366580787633)	(2.0, 1.9966875230033128)	(3.0, 1.4078027235921973)	(4.0, 1.048951048951049)	(5.0, 0.9201324990798674)	(6.0, 0.6348914243651086)	(7.0, 0.5474788369525212)	(8.0, 0.62569009937431)	(9.0, 0.5796834744203165)	('>10', 6.611152005888848)	('>50', 8.313397129186603)	('>100', 16.774015458225985)	('>500', 6.956201693043798)	('>1k', 19.796650717703347)	('>5k', 27.0748987854251)	('>10k+', 0.0)
ERR011059	(1.0, 7.030422279400636)	(2.0, 2.2400484334796427)	(3.0, 1.3848948085364008)	(4.0, 0.8173149689723022)	(5.0, 0.6054184955350386)	(6.0, 0.5902830331466626)	(7.0, 0.9005600121083699)	(8.0, 0.5448766459815347)	(9.0, 0.27243832299076737)	('>10', 9.891024670803693)	('>50', 10.98834569396095)	('>100', 37.13485696988043)	('>500', 19.721507492053885)	('>1k', 7.87800817314969)	('>5k', 0.0)	('>10k+', 0.0)
ERR011060	(1.0, 6.290090325958896)	(2.0, 1.950517083387878)	(3.0, 1.2567089933237334)	(4.0, 1.0472574944364446)	(5.0, 0.8508967142296111)	(6.0, 0.5890823406205001)	(7.0, 0.5498101845791333)	(8.0, 0.5236287472182223)	(9.0, 0.29454117031025007)	('>10', 7.4486189291792115)	('>50', 3.7243094645896058)	('>100', 7.867521926953789)	('>500', 0.0)	('>1k', 67.60701662521272)	('>5k', 0.0)	('>10k+', 0.0)
ERR011061	(1.0, 4.204337105645824)	(2.0, 1.3403300246570147)	(3.0, 0.9673136498703926)	(4.0, 0.6069418979578933)	(5.0, 0.34772712903837644)	(6.0, 0.4931402920907884)	(7.0, 0.5753303407725865)	(8.0, 0.0)	(9.0, 0.28450401466776254)	('>10', 6.069418979578934)	('>50', 2.6490484921287223)	('>100', 15.3758614149333)	('>500', 14.926977302901943)	('>1k', 52.15906935575646)	('>5k', 0.0)	('>10k+', 0.0)
ERR011062	(1.0, 5.080516239716147)	(2.0, 1.6064257028112447)	(3.0, 0.8305064919873669)	(4.0, 0.7174328381487114)	(5.0, 0.6043591843100558)	(6.0, 0.4912855304714001)	(7.0, 0.4912855304714001)	(8.0, 0.3743127851210668)	(9.0, 0.24564276523570006)	('>10', 7.240612937185635)	('>50', 3.1153741178305454)	('>100', 12.083284594689438)	('>500', 3.267438686785979)	('>1k', 4.121339727843412)	('>5k', 59.7301828673919)	('>10k+', 0.0)
ERR011063	(1.0, 5.421865715983363)	(2.0, 1.5894236482471777)	(3.0, 1.0472370766488415)	(4.0, 0.5941770647653001)	(5.0, 0.6684491978609626)	(6.0, 0.6684491978609626)	(7.0, 0.20796197266785502)	(8.0, 0.23767082590612004)	(9.0, 0.53475935828877)	('>10', 8.40017825311943)	('>50', 6.2982768865121805)	('>100', 13.777480689245394)	('>500', 11.007130124777184)	('>1k', 49.546939988116456)	('>5k', 0.0)	('>10k+', 0.0)
ERR011064	(1.0, 6.918101085407303)	(2.0, 2.236596864378906)	(3.0, 1.299199649161276)	(4.0, 0.920951650038373)	(5.0, 0.6578226071702664)	(6.0, 0.5591492160947265)	(7.0, 0.6139677666922486)	(8.0, 0.6139677666922486)	(9.0, 0.6413770419910098)	('>10', 10.059204034645324)	('>50', 4.64313123561013)	('>100', 21.708146036618793)	('>500', 14.12674048898147)	('>1k', 35.001644556517924)	('>5k', 0.0)	('>10k+', 0.0)
ERR011065	(1.0, 4.854037721136508)	(2.0, 1.9201715483210684)	(3.0, 1.1988888347385351)	(4.0, 0.7407768409766557)	(5.0, 0.7066621180369413)	(6.0, 0.5263414396413081)	(7.0, 0.47760612115600176)	(8.0, 0.15595301915298018)	(9.0, 0.1754471465471027)	('>10', 6.535406208879575)	('>50', 4.434913982162874)	('>100', 12.661435742482578)	('>500', 5.097714313563039)	('>1k', 60.51464496320483)	('>5k', 0.0)	('>10k+', 0.0)
ERR011066	(1.0, 8.244446226642072)	(2.0, 2.630523698772957)	(3.0, 1.2992220707354238)	(4.0, 0.8982276044590584)	(5.0, 0.5613922527869115)	(6.0, 0.7217900392974577)	(7.0, 0.8420883791803674)	(8.0, 0.4491138022295292)	(9.0, 0.43307402357847463)	('>10', 9.182773277728767)	('>50', 2.2295292324965916)	('>100', 10.257438447349426)	('>500', 4.9803512711524585)	('>1k', 57.27002967359051)	('>5k', 0.0)	('>10k+', 0.0)
ERR011067	(1.0, 6.089654533666759)	(2.0, 2.0283412058905252)	(3.0, 1.153098082800778)	(4.0, 0.6853755672872095)	(5.0, 0.4630915995183847)	(6.0, 0.3889969435954432)	(7.0, 0.5186625914605909)	(8.0, 0.37047327961470783)	(9.0, 0.333425951653237)	('>10', 6.904695748819116)	('>50', 4.672594239140502)	('>100', 11.345744188200426)	('>500', 5.6960266740761325)	('>1k', 59.349819394276196)	('>5k', 0.0)	('>10k+', 0.0)
