Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR011058	ERR011058.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21736.0	5.3 Mbp	0.0	29-889	54.0	9.50496871549503	244.87152649981599	289	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR011059	ERR011059.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13214.0	3.4 Mbp	0.0	29-502	50.0	10.065082488270017	260.9928863326775	294	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR011060	ERR011060.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15278.0	3.8 Mbp	0.0	29-463	54.0	8.888597984029323	251.18788453986124	294	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR011061	ERR011061.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15817.0	4 Mbp	0.0	29-436	50.0	6.063096668141873	257.799551115888	294	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR011062	ERR011062.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25647.0	6.4 Mbp	0.0	29-402	54.0	7.16263110695208	250.74260147385658	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR011063	ERR011063.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13464.0	3.5 Mbp	0.0	31-607	50.0	7.635175282234105	262.39026292335114	309	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR011064	ERR011064.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18242.0	4.5 Mbp	0.0	29-549	53.0	9.82896612213573	245.46181887950883	289	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR011065	ERR011065.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20519.0	5.4 Mbp	0.0	30-637	52.0	7.222574199522394	264.38764072323215	289	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR011066	ERR011066.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12469.0	3 Mbp	0.0	29-433	54.0	11.195765498436122	244.31855000400995	294	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR011067	ERR011067.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21594.0	5.4 Mbp	0.0	29-553	56.0	8.446790775215337	254.37901731962583	289	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
