Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR011058	90.49503128450498	54.0	244.87152649981599	289	40.0	0.021736
ERR011059	89.93491751172998	50.0	260.9928863326775	294	40.0	0.013214
ERR011060	91.11140201597068	54.0	251.18788453986124	294	40.0	0.015278
ERR011061	93.93690333185813	50.0	257.799551115888	294	40.0	0.015816999999999998
ERR011062	92.83736889304792	54.0	250.74260147385658	294	50.0	0.025647
ERR011063	92.3648247177659	50.0	262.39026292335114	309	40.0	0.013463999999999999
ERR011064	90.17103387786428	53.0	245.46181887950883	289	40.0	0.018241999999999998
ERR011065	92.7774258004776	52.0	264.38764072323215	289	40.0	0.020519
ERR011066	88.80423450156388	54.0	244.31855000400995	294	40.0	0.012469
ERR011067	91.55320922478467	56.0	254.37901731962583	289	50.0	0.021594
ERR011068	90.81412103746398	54.0	249.38073795800742	294	40.0	0.019431999999999998
ERR011069	92.4780670214296	51.0	260.16942327053073	294	40.0	0.013906
ERR011070	93.32740213523132	51.0	261.6787959667853	289	40.0	0.01686
ERR011071	90.65450472075531	51.0	262.5964554328693	289	40.0	0.012497999999999999
ERR011072	92.00664382850617	50.0	264.9531298660853	309	40.0	0.009633
ERR011073	91.10539570272732	51.0	256.7934683598564	289	40.0	0.018663
ERR011074	92.73481072010266	52.0	270.9249790237402	294	40.0	0.020260999999999998
ERR011075	88.46192945003558	53.0	262.4931889803802	304	40.0	0.009837
ERR011076	92.81626063985911	53.0	265.22923393014383	294	40.0	0.013628
ERR011077	93.25682382133995	56.0	264.45362903225805	309	40.0	0.01612
ERR011078	93.20415224913495	53.0	269.79854671280276	309	40.0	0.01445
ERR011079	92.38101722611833	55.0	267.42980186559544	304	40.0	0.014686999999999999
ERR011080	93.09249702262802	51.0	265.71108464558245	294	40.0	0.022671
ERR011081	89.57993843925402	52.0	267.2783360492486	304	40.0	0.011046
ERR011082	91.87639897363105	50.0	261.0748757984386	289	40.0	0.018317
ERR011083	90.39297918608264	53.0	265.20355700528114	304	40.0	0.012875999999999999
ERR011084	90.05439636275067	52.0	265.8831696029877	304	40.0	0.012317
ERR011085	91.72788411795138	51.0	255.46213140196585	294	40.0	0.01933
ERR011086	88.35269203619329	53.0	237.96560354232176	289	40.0	0.015583
