Module	Section	Sample Name	Source
FastQC	all_sections	ERR011058	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011058_fastqc.zip
FastQC	all_sections	ERR011059	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011059_fastqc.zip
FastQC	all_sections	ERR011060	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011060_fastqc.zip
FastQC	all_sections	ERR011061	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011061_fastqc.zip
FastQC	all_sections	ERR011062	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011062_fastqc.zip
FastQC	all_sections	ERR011063	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011063_fastqc.zip
FastQC	all_sections	ERR011064	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011064_fastqc.zip
FastQC	all_sections	ERR011065	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011065_fastqc.zip
FastQC	all_sections	ERR011066	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011066_fastqc.zip
FastQC	all_sections	ERR011067	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011067_fastqc.zip
FastQC	all_sections	ERR011068	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011068_fastqc.zip
FastQC	all_sections	ERR011069	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011069_fastqc.zip
FastQC	all_sections	ERR011070	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011070_fastqc.zip
FastQC	all_sections	ERR011071	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011071_fastqc.zip
FastQC	all_sections	ERR011072	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011072_fastqc.zip
FastQC	all_sections	ERR011073	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011073_fastqc.zip
FastQC	all_sections	ERR011074	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011074_fastqc.zip
FastQC	all_sections	ERR011075	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011075_fastqc.zip
FastQC	all_sections	ERR011076	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011076_fastqc.zip
FastQC	all_sections	ERR011077	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011077_fastqc.zip
FastQC	all_sections	ERR011078	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011078_fastqc.zip
FastQC	all_sections	ERR011079	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011079_fastqc.zip
FastQC	all_sections	ERR011080	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011080_fastqc.zip
FastQC	all_sections	ERR011081	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011081_fastqc.zip
FastQC	all_sections	ERR011082	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011082_fastqc.zip
FastQC	all_sections	ERR011083	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011083_fastqc.zip
FastQC	all_sections	ERR011084	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011084_fastqc.zip
FastQC	all_sections	ERR011085	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011085_fastqc.zip
FastQC	all_sections	ERR011086	/mnt/c/Users/meemo/Downloads/july_2026_technical_interview/microbiomedataanalysis/results/qc/ERR011086_fastqc.zip
